DATE,TOTBKCR
1994-11-23,3149.6388
1994-11-30,3157.2537
1994-12-07,3160.7114
1994-12-14,3167.1872
1994-12-21,3180.7685
1994-12-28,3182.7356
1995-01-04,3188.1805
1995-01-11,3194.3821
1995-01-18,3200.2141
1995-01-25,3203.7263
1995-02-01,3210.175
1995-02-08,3203.3164
1995-02-15,3204.8529
1995-02-22,3207.2392
1995-03-01,3210.5235
1995-03-08,3206.4925
1995-03-15,3217.9979
1995-03-22,3216.4872
1995-03-29,3216.3846
1995-04-05,3256.8216
1995-04-12,3263.1425
1995-04-19,3274.2547
1995-04-26,3276.966
1995-05-03,3278.7105
1995-05-10,3284.4192
1995-05-17,3281.4656
1995-05-24,3293.3299
1995-05-31,3300.0534
1995-06-07,3299.5782
1995-06-14,3301.1645
1995-06-21,3311.0192
1995-06-28,3309.1918
1995-07-05,3322.7201
1995-07-12,3329.8528
1995-07-19,3332.6711
1995-07-26,3338.7034
1995-08-02,3340.0568
1995-08-09,3348.1245
1995-08-16,3354.0748
1995-08-23,3361.2566
1995-08-30,3356.7296
1995-09-06,3361.6607
1995-09-13,3368.1013
1995-09-20,3381.1326
1995-09-27,3381.9426
1995-10-04,3370.6566
1995-10-11,3371.0898
1995-10-18,3369.6497
1995-10-25,3381.1876
1995-11-01,3384.6647
1995-11-08,3381.4456
1995-11-15,3387.2932
1995-11-22,3393.8023
1995-11-29,3385.912
1995-12-06,3390.3408
1995-12-13,3395.5061
1995-12-20,3406.4989
1995-12-27,3405.1226
1996-01-03,3411.5061
1996-01-10,3417.8678
1996-01-17,3415.8738
1996-01-24,3417.6369
1996-01-31,3422.5664
1996-02-07,3421.2969
1996-02-14,3429.5322
1996-02-21,3440.053
1996-02-28,3440.1603
1996-03-06,3423.5464
1996-03-13,3437.4336
1996-03-20,3446.8636
1996-03-27,3453.4027
1996-04-03,3442.1218
1996-04-10,3456.6238
1996-04-17,3460.7088
1996-04-24,3466.4831
1996-05-01,3467.8356
1996-05-08,3465.7516
1996-05-15,3469.5148
1996-05-22,3473.5837
1996-05-29,3464.7165
1996-06-05,3468.1977
1996-06-12,3480.7174
1996-06-19,3483.2258
1996-06-26,3490.6639
1996-07-03,3489.9929
1996-07-10,3496.5963
1996-07-17,3484.5191
1996-07-24,3490.9243
1996-07-31,3479.0249
1996-08-07,3494.5841
1996-08-14,3496.4701
1996-08-21,3499.6265
1996-08-28,3497.5757
1996-09-04,3504.3349
1996-09-11,3515.1196
1996-09-18,3507.7927
1996-09-25,3530.4312
1996-10-02,3548.6811
1996-10-09,3549.3697
1996-10-16,3552.5277
1996-10-23,3548.8291
1996-10-30,3547.5139
1996-11-06,3555.4055
1996-11-13,3562.5864
1996-11-20,3566.3056
1996-11-27,3583.0534
1996-12-04,3577.2969
1996-12-11,3587.3305
1996-12-18,3584.4878
1996-12-25,3591.6851
1997-01-01,3596.403
1997-01-08,3609.2383
1997-01-15,3603.6548
1997-01-22,3617.2467
1997-01-29,3616.6579
1997-02-05,3619.8153
1997-02-12,3623.8825
1997-02-19,3630.518
1997-02-26,3628.5347
1997-03-05,3637.6496
1997-03-12,3652.7664
1997-03-19,3655.9644
1997-03-26,3672.4334
1997-04-02,3670.5587
1997-04-09,3679.0462
1997-04-16,3695.2712
1997-04-23,3703.976
1997-04-30,3723.8788
1997-05-07,3712.7428
1997-05-14,3718.5316
1997-05-21,3724.4716
1997-05-28,3728.8162
1997-06-04,3735.1956
1997-06-11,3742.5299
1997-06-18,3743.7588
1997-06-25,3752.3208
1997-07-02,3767.3164
1997-07-09,3764.9182
1997-07-16,3772.1186
1997-07-23,3774.896
1997-07-30,3782.4188
1997-08-06,3778.3464
1997-08-13,3771.9001
1997-08-20,3789.3223
1997-08-27,3794.0014
1997-09-03,3806.8579
1997-09-10,3808.795
1997-09-17,3813.4942
1997-09-24,3815.8063
1997-10-01,3823.3102
1997-10-08,3827.6405
1997-10-15,3822.6781
1997-10-22,3830.7544
1997-10-29,3834.7618
1997-11-05,3852.2924
1997-11-12,3863.0261
1997-11-19,3856.9184
1997-11-26,3879.5264
1997-12-03,3875.1837
1997-12-10,3866.5012
1997-12-17,3878.9183
1997-12-24,3897.9994
1997-12-31,3905.7548
1998-01-07,3914.2527
1998-01-14,3915.5353
1998-01-21,3932.8192
1998-01-28,3928.5244
1998-02-04,3939.2936
1998-02-11,3942.8237
1998-02-18,3952.8494
1998-02-25,3963.0443
1998-03-04,3988.3504
1998-03-11,3990.4137
1998-03-18,3989.3901
1998-03-25,3995.6067
1998-04-01,4015.121
1998-04-08,4009.2277
1998-04-15,4006.3769
1998-04-22,3993.8912
1998-04-29,4011.1703
1998-05-06,4028.5147
1998-05-13,4017.2154
1998-05-20,4019.5294
1998-05-27,4028.639
1998-06-03,4035.8581
1998-06-10,4032.2321
1998-06-17,4034.2406
1998-06-24,4042.7114
1998-07-01,4056.2752
1998-07-08,4042.0307
1998-07-15,4049.5814
1998-07-22,4050.423
1998-07-29,4066.617
1998-08-05,4074.7204
1998-08-12,4085.2731
1998-08-19,4091.6262
1998-08-26,4109.9494
1998-09-02,4125.6184
1998-09-09,4111.3013
1998-09-16,4118.2259
1998-09-23,4132.8876
1998-09-30,4132.4588
1998-10-07,4134.084
1998-10-14,4156.2011
1998-10-21,4184.1621
1998-10-28,4206.3403
1998-11-04,4219.5071
1998-11-11,4225.4468
1998-11-18,4230.2096
1998-11-25,4237.5484
1998-12-02,4234.2193
1998-12-09,4244.8371
1998-12-16,4234.4579
1998-12-23,4232.7294
1998-12-30,4244.6542
1999-01-06,4247.427
1999-01-13,4254.964
1999-01-20,4250.0658
1999-01-27,4239.7018
1999-02-03,4238.9245
1999-02-10,4242.9345
1999-02-17,4233.8319
1999-02-24,4234.5067
1999-03-03,4246.2532
1999-03-10,4250.9931
1999-03-17,4258.1629
1999-03-24,4269.6309
1999-03-31,4273.9377
1999-04-07,4267.9692
1999-04-14,4281.6941
1999-04-21,4284.3395
1999-04-28,4272.7393
1999-05-05,4275.7205
1999-05-12,4286.4425
1999-05-19,4281.6554
1999-05-26,4287.3704
1999-06-02,4291.2855
1999-06-09,4296.8359
1999-06-16,4317.2377
1999-06-23,4329.8583
1999-06-30,4328.1639
1999-07-07,4320.2436
1999-07-14,4334.2886
1999-07-21,4339.0227
1999-07-28,4326.6118
1999-08-04,4327.097
1999-08-11,4341.7174
1999-08-18,4354.8074
1999-08-25,4360.5989
1999-09-01,4370.9249
1999-09-08,4359.3685
1999-09-15,4375.5155
1999-09-22,4400.1752
1999-09-29,4397.9257
1999-10-06,4401.1233
1999-10-13,4407.582
1999-10-20,4419.0598
1999-10-27,4427.0328
1999-11-03,4425.037
1999-11-10,4433.0905
1999-11-17,4453.848
1999-11-24,4464.762
1999-12-01,4472.9141
1999-12-08,4477.5939
1999-12-15,4496.9982
1999-12-22,4521.6712
1999-12-29,4523.3897
2000-01-05,4513.2908
2000-01-12,4529.0633
2000-01-19,4542.4604
2000-01-26,4552.1858
2000-02-02,4550.6967
2000-02-09,4546.0615
2000-02-16,4554.3691
2000-02-23,4568.1326
2000-03-01,4585.6147
2000-03-08,4589.9744
2000-03-15,4617.6711
2000-03-22,4625.8213
2000-03-29,4619.7339
2000-04-05,4634.3455
2000-04-12,4645.7001
2000-04-19,4657.6873
2000-04-26,4672.1601
2000-05-03,4680.8849
2000-05-10,4695.8946
2000-05-17,4697.6595
2000-05-24,4721.3434
2000-05-31,4719.9661
2000-06-07,4725.7896
2000-06-14,4734.261
2000-06-21,4762.0582
2000-06-28,4753.3174
2000-07-05,4762.43
2000-07-12,4766.8038
2000-07-19,4780.0392
2000-07-26,4787.5095
2000-08-02,4792.3292
2000-08-09,4792.8382
2000-08-16,4806.0079
2000-08-23,4811.1844
2000-08-30,4803.5726
2000-09-06,4816.581
2000-09-13,4805.1746
2000-09-20,4843.1354
2000-09-27,4835.7346
2000-10-04,4817.1598
2000-10-11,4818.9513
2000-10-18,4813.0762
